filename,permissions,activities,services
juloo.keyboard2_36.apk,"['android.permission.RECEIVE_BOOT_COMPLETED', 'android.permission.VIBRATE']","['juloo.keyboard2.SettingsActivity', 'juloo.keyboard2.LauncherActivity']",['juloo.keyboard2.Keyboard2']
com.trianguloy.adnihilation_3.apk,[],['com.trianguloy.adnihilation.MainActivity'],[]
uk.co.ashtonbrsc.android.intentintercept_224.apk,[],"['uk.co.ashtonbrsc.intentexplode.Explode', 'uk.co.ashtonbrsc.intentexplode.StartupActivity', 'uk.co.ashtonbrsc.intentexplode.Pre15SettingsActivity', 'uk.co.ashtonbrsc.intentexplode.SettingsActivity']",[]
de.eidottermihi.raspicheck_57.apk,"['android.permission.WAKE_LOCK', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.INTERNET']","['de.eidottermihi.rpicheck.activity.MainActivity', 'de.eidottermihi.rpicheck.activity.SettingsActivity', 'de.eidottermihi.rpicheck.activity.NewRaspiActivity', 'de.eidottermihi.rpicheck.activity.NewRaspiAuthActivity', 'de.eidottermihi.rpicheck.activity.EditRaspiActivity', 'de.eidottermihi.rpicheck.activity.CustomCommandActivity', 'de.eidottermihi.rpicheck.activity.NewCommandActivity', 'de.eidottermihi.rpicheck.activity.helper.RaspiFilePickerActivity', 'de.eidottermihi.rpicheck.widget.OverclockingWidgetConfigureActivity']",['de.eidottermihi.rpicheck.widget.WidgetUpdateService']
net.bluetoothviewer_8.apk,"['android.permission.BLUETOOTH_ADMIN', 'android.permission.BLUETOOTH']","['net.bluetoothviewer.BluetoothViewer', 'net.bluetoothviewer.DeviceListActivity', 'net.bluetoothviewer.SettingsActivity']",[]
com.bmco.cratesiounofficial_12.apk,"['android.permission.RECEIVE_BOOT_COMPLETED', 'android.permission.VIBRATE', 'android.permission.INTERNET']","['com.bmco.cratesiounofficial.activities.MainActivity', 'com.bmco.cratesiounofficial.activities.CrateActivity', 'com.bmco.cratesiounofficial.activities.SubscribedActivity', 'com.bmco.cratesiounofficial.activities.LoginActivity', 'com.bmco.cratesiounofficial.activities.DashboardActivity']",['com.bmco.cratesiounofficial.CrateNotifier']
com.enrico.filemanager_5.apk,[],['com.enrico.filemanager.MainActivity'],[]
dev.yashgarg.qbit_17.apk,"['android.permission.WAKE_LOCK', 'android.permission.RECEIVE_BOOT_COMPLETED', 'android.permission.READ_PHONE_STATE', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.READ_EXTERNAL_STORAGE', 'android.permission.INTERNET', 'dev.yashgarg.qbit.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION', 'android.permission.POST_NOTIFICATIONS', 'android.permission.WRITE_EXTERNAL_STORAGE', 'android.permission.FOREGROUND_SERVICE']","['dev.yashgarg.qbit.MainActivity', 'com.haroldadmin.whatthestack.WhatTheStackActivity', 'androidx.compose.ui.tooling.PreviewActivity']","['com.haroldadmin.whatthestack.WhatTheStackService', 'androidx.work.impl.background.systemalarm.SystemAlarmService', 'androidx.work.impl.background.systemjob.SystemJobService', 'androidx.work.impl.foreground.SystemForegroundService', 'androidx.room.MultiInstanceInvalidationService']"
ooo.akito.webmon_14.apk,"['android.permission.WAKE_LOCK', 'android.permission.RECEIVE_BOOT_COMPLETED', 'android.permission.VIBRATE', 'android.permission.QUERY_ALL_PACKAGES', 'android.permission.ACCESS_NETWORK_STATE', 'android.permission.READ_EXTERNAL_STORAGE', 'android.permission.INTERNET', 'android.permission.FOREGROUND_SERVICE']","['ooo.akito.webmon.ui.debug.ActivityDebug', 'ooo.akito.webmon.ui.splash.SplashActivity', 'ooo.akito.webmon.ui.home.MainActivity', 'ooo.akito.webmon.ui.createentry.CreateEntryActivity', 'ooo.akito.webmon.ui.settings.SettingsActivity']","['ooo.akito.webmon.utils.AppService', 'androidx.work.impl.background.systemalarm.SystemAlarmService', 'androidx.work.impl.background.systemjob.SystemJobService', 'androidx.work.impl.foreground.SystemForegroundService', 'androidx.room.MultiInstanceInvalidationService']"
com.madlonkay.orgro_76.apk,"['com.madlonkay.orgro.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION', 'android.permission.INTERNET']","['com.madlonkay.orgro.MainActivity', 'io.flutter.plugins.urllauncher.WebViewActivity']",[]
com.bytehamster.changelog_49.apk,['android.permission.INTERNET'],"['com.bytehamster.changelog.Main', 'com.bytehamster.changelog.Preferences']",[]
